Gene A	Gene B	Neither	A Not B	B Not A	Both	Log Odds Ratio	p-Value	Adjusted p-Value	Tendency
WWOX	SHH	326	56	4	3	1.474	0.074	1.000	Co-occurrence
FSCN2	NRP2	364	11	12	2	1.707	0.075	1.000	Co-occurrence
FSCN2	CARD10	364	11	12	2	1.707	0.075	1.000	Co-occurrence
SCIN	CARD10	364	11	12	2	1.707	0.075	1.000	Co-occurrence
HDAC6	ETV1	364	12	11	2	1.707	0.075	1.000	Co-occurrence
AQP3	ARRB1	379	5	4	1	2.942	0.075	1.000	Co-occurrence
HDAC8	GLS	379	5	4	1	2.942	0.075	1.000	Co-occurrence
AQP3	GLS	379	5	4	1	2.942	0.075	1.000	Co-occurrence
ITGB4	SON	351	22	13	3	1.303	0.075	1.000	Co-occurrence
PTPA	MAPK7	377	2	9	1	>3	0.075	1.000	Co-occurrence
JAG1	NUMB	360	21	6	2	1.743	0.075	1.000	Co-occurrence
PRKCA	NAMPT	373	14	1	1	>3	0.076	1.000	Co-occurrence
ACTN4	NODAL	373	14	1	1	>3	0.076	1.000	Co-occurrence
PAK4	WWOX	319	11	54	5	0.988	0.078	1.000	Co-occurrence
IGSF8	TP73	363	9	15	2	1.682	0.078	1.000	Co-occurrence
ITGA3	KLF8	363	15	9	2	1.682	0.078	1.000	Co-occurrence
NOTCH4	AGTR1	361	19	7	2	1.692	0.079	1.000	Co-occurrence
CAPNS1	TRIM62	378	3	7	1	2.890	0.080	1.000	Co-occurrence
EGFL7	TRIM62	378	3	7	1	2.890	0.080	1.000	Co-occurrence
FBXW7	JAG1	306	60	16	7	0.803	0.080	1.000	Co-occurrence
CUX1	MAPK7	362	17	8	2	1.672	0.081	1.000	Co-occurrence
PAK4	NR1I2	372	15	1	1	>3	0.081	1.000	Co-occurrence
PAK4	NAMPT	372	15	1	1	>3	0.081	1.000	Co-occurrence
CSF2	UBE3C	372	1	15	1	>3	0.081	1.000	Co-occurrence
NAMPT	TRIM33	372	1	15	1	>3	0.081	1.000	Co-occurrence
NAMPT	SON	372	1	15	1	>3	0.081	1.000	Co-occurrence
PAK4	NODAL	372	15	1	1	>3	0.081	1.000	Co-occurrence
UBE3C	NODAL	372	15	1	1	>3	0.081	1.000	Co-occurrence
SIN3A	JAG1	351	15	20	3	1.256	0.082	1.000	Co-occurrence
TRIM33	FBXO11	363	14	10	2	1.646	0.082	1.000	Co-occurrence
UBE3C	GRN	363	14	10	2	1.646	0.082	1.000	Co-occurrence
UBE3C	PKP3	363	14	10	2	1.646	0.082	1.000	Co-occurrence
PAK4	QKI	363	14	10	2	1.646	0.082	1.000	Co-occurrence
PAK4	TCF3	363	14	10	2	1.646	0.082	1.000	Co-occurrence
UBE3C	TCF3	363	14	10	2	1.646	0.082	1.000	Co-occurrence
TRIM33	TCF3	363	14	10	2	1.646	0.082	1.000	Co-occurrence
SON	TCF3	363	14	10	2	1.646	0.082	1.000	Co-occurrence
STAT1	PIK3CA	255	9	116	9	0.788	0.083	1.000	Co-occurrence
USP9X	GAPDH	352	31	4	2	1.736	0.084	1.000	Co-occurrence
KMT2A	GAPDH	352	31	4	2	1.736	0.084	1.000	Co-occurrence
KMT2A	MDM4	352	31	4	2	1.736	0.084	1.000	Co-occurrence
PRKCA	ETV1	363	13	11	2	1.625	0.085	1.000	Co-occurrence
CSF2	ITGA3	371	1	16	1	>3	0.086	1.000	Co-occurrence
NR1I2	TP73	371	1	16	1	>3	0.086	1.000	Co-occurrence
GEMIN2	FSHR	371	1	16	1	>3	0.086	1.000	Co-occurrence
G3BP1	NAMPT	371	16	1	1	>3	0.086	1.000	Co-occurrence
SIN3A	IGSF8	362	16	9	2	1.615	0.087	1.000	Co-occurrence
GAPDH	PIK3CA	262	2	121	4	1.466	0.087	1.000	Co-occurrence
MMD	CXCR2	378	4	6	1	2.757	0.087	1.000	Co-occurrence
MMD	GSN	378	4	6	1	2.757	0.087	1.000	Co-occurrence
GLS	BIRC2	378	4	6	1	2.757	0.087	1.000	Co-occurrence
GLS	SOX3	378	4	6	1	2.757	0.087	1.000	Co-occurrence
MMD	SHH	378	4	6	1	2.757	0.087	1.000	Co-occurrence
ART1	GLS	378	6	4	1	2.757	0.087	1.000	Co-occurrence
CUX1	UBR5	338	15	32	4	1.036	0.087	1.000	Co-occurrence
ITGB4	TP73	350	22	14	3	1.226	0.088	1.000	Co-occurrence
USP9X	FSCN2	346	30	10	3	1.241	0.088	1.000	Co-occurrence
UBR5	TCF3	344	33	9	3	1.246	0.089	1.000	Co-occurrence
GAPDH	MDM4	378	5	5	1	2.716	0.090	1.000	Co-occurrence
EED	AGTR1	377	3	8	1	2.754	0.090	1.000	Co-occurrence
IRF8	AGTR1	377	3	8	1	2.754	0.090	1.000	Co-occurrence
PTPA	PKP3	375	2	11	1	2.836	0.090	1.000	Co-occurrence
NR1I2	SIN3A	370	1	17	1	>3	0.091	1.000	Co-occurrence
FBXW7	KMT2A	298	58	24	9	0.656	0.092	1.000	Co-occurrence
ITGA3	FBXO11	362	15	10	2	1.574	0.092	1.000	Co-occurrence
FBXO11	TP73	362	10	15	2	1.574	0.092	1.000	Co-occurrence
FBXO11	FSHR	362	10	15	2	1.574	0.092	1.000	Co-occurrence
G3BP1	GRN	362	15	10	2	1.574	0.092	1.000	Co-occurrence
FSHR	GRN	362	15	10	2	1.574	0.092	1.000	Co-occurrence
G3BP1	PKP3	362	15	10	2	1.574	0.092	1.000	Co-occurrence
FBXO11	WWOX	322	8	55	4	1.074	0.092	1.000	Co-occurrence
WWOX	PKP3	322	55	8	4	1.074	0.092	1.000	Co-occurrence
ATM	TCF3	322	55	8	4	1.074	0.092	1.000	Co-occurrence
JAG1	AGTR1	359	21	7	2	1.586	0.093	1.000	Co-occurrence
CUX1	JAG1	350	16	20	3	1.188	0.094	1.000	Co-occurrence
FSCN2	UBE3C	362	11	14	2	1.548	0.095	1.000	Co-occurrence
SCIN	TRIM33	362	11	14	2	1.548	0.095	1.000	Co-occurrence
FSCN2	SON	362	11	14	2	1.548	0.095	1.000	Co-occurrence
SCIN	SON	362	11	14	2	1.548	0.095	1.000	Co-occurrence
NOTCH4	PIK3CA	253	11	115	10	0.693	0.095	1.000	Co-occurrence
CUX1	NODAL	369	18	1	1	>3	0.095	1.000	Co-occurrence
CUX1	PBXIP1	361	17	9	2	1.552	0.096	1.000	Co-occurrence
CUX1	KLF8	361	17	9	2	1.552	0.096	1.000	Co-occurrence
NOTCH4	MAPK7	360	19	8	2	1.555	0.096	1.000	Co-occurrence
FBXW7	PRKCA	312	62	10	5	0.923	0.096	1.000	Co-occurrence
PRKCA	HDAC6	362	13	12	2	1.535	0.097	1.000	Co-occurrence
ACTN4	NRP2	362	13	12	2	1.535	0.097	1.000	Co-occurrence
PRKCA	NRP2	362	13	12	2	1.535	0.097	1.000	Co-occurrence
ACTN4	CARD10	362	13	12	2	1.535	0.097	1.000	Co-occurrence
PTPA	ETV1	374	2	12	1	2.746	0.097	1.000	Co-occurrence
ETV1	CREB1	374	12	2	1	2.746	0.097	1.000	Co-occurrence
ATM	FSHR	318	54	12	5	0.898	0.098	1.000	Co-occurrence
WWOX	FSHR	318	54	12	5	0.898	0.098	1.000	Co-occurrence
HDAC8	UBR5	349	4	34	2	1.636	0.099	1.000	Co-occurrence
MAPK7	ZNF143	376	9	3	1	2.634	0.099	1.000	Co-occurrence
PIK3CA	ZNF143	263	122	1	3	1.867	0.100	1.000	Co-occurrence
EED	PIK3CA	263	1	122	3	1.867	0.100	1.000	Co-occurrence
ITGB4	SIN3A	349	22	15	3	1.155	0.101	1.000	Co-occurrence
STAT1	ITGB4	349	15	22	3	1.155	0.101	1.000	Co-occurrence
STAT1	FBXO11	361	16	10	2	1.507	0.101	1.000	Co-occurrence
SIN3A	GRN	361	16	10	2	1.507	0.101	1.000	Co-occurrence
PBXIP1	PIK3CA	259	5	119	6	0.960	0.102	1.000	Co-occurrence
FBXW7	EPS8	318	64	4	3	1.315	0.102	1.000	Co-occurrence
NAMPT	PIK3CA	264	0	123	2	>3	0.103	1.000	Co-occurrence
HDAC8	EPS8	377	5	6	1	2.531	0.104	1.000	Co-occurrence
CXCR2	GAPDH	377	6	5	1	2.531	0.104	1.000	Co-occurrence
EPS8	GAPDH	377	6	5	1	2.531	0.104	1.000	Co-occurrence
HDAC8	BIRC2	377	5	6	1	2.531	0.104	1.000	Co-occurrence
GAPDH	BIRC2	377	5	6	1	2.531	0.104	1.000	Co-occurrence
GSN	MDM4	377	6	5	1	2.531	0.104	1.000	Co-occurrence
GAPDH	HAVCR2	377	5	6	1	2.531	0.104	1.000	Co-occurrence
PTPA	HDAC6	373	2	13	1	2.663	0.104	1.000	Co-occurrence
PTPA	NRP2	373	2	13	1	2.663	0.104	1.000	Co-occurrence
HDAC6	CREB1	373	13	2	1	2.663	0.104	1.000	Co-occurrence
NAMPT	SFTPC	367	1	20	1	2.910	0.105	1.000	Co-occurrence
NOTCH4	NODAL	367	20	1	1	2.910	0.105	1.000	Co-occurrence
SFTPC	NODAL	367	20	1	1	2.910	0.105	1.000	Co-occurrence
FSCN2	ITGA3	361	11	15	2	1.476	0.106	1.000	Co-occurrence
FSCN2	TP73	361	11	15	2	1.476	0.106	1.000	Co-occurrence
SCIN	TP73	361	11	15	2	1.476	0.106	1.000	Co-occurrence
G3BP1	SCIN	361	15	11	2	1.476	0.106	1.000	Co-occurrence
ATM	NUMB	325	56	5	3	1.248	0.106	1.000	Co-occurrence
ATM	TRIM62	325	56	5	3	1.248	0.106	1.000	Co-occurrence
ITGB4	AGTR1	357	23	7	2	1.489	0.108	1.000	Co-occurrence
PAK4	NRP2	361	14	12	2	1.458	0.108	1.000	Co-occurrence
HDAC6	UBE3C	361	12	14	2	1.458	0.108	1.000	Co-occurrence
UBE3C	CARD10	361	14	12	2	1.458	0.108	1.000	Co-occurrence
TRIM33	CARD10	361	14	12	2	1.458	0.108	1.000	Co-occurrence
HDAC6	SON	361	12	14	2	1.458	0.108	1.000	Co-occurrence
PBXIP1	EED	375	10	3	1	2.526	0.109	1.000	Co-occurrence
CAPNS1	IGSF8	375	3	10	1	2.526	0.109	1.000	Co-occurrence
IGSF8	IRF8	375	10	3	1	2.526	0.109	1.000	Co-occurrence
IGSF8	ZNF143	375	10	3	1	2.526	0.109	1.000	Co-occurrence
ZNF143	KLF8	375	3	10	1	2.526	0.109	1.000	Co-occurrence
ACTN4	PRKCA	361	13	13	2	1.452	0.109	1.000	Co-occurrence
SCIN	UBR5	343	10	33	3	1.137	0.109	1.000	Co-occurrence
CAPNS1	ATM	328	2	57	2	1.750	0.111	1.000	Co-occurrence
EED	ATM	328	2	57	2	1.750	0.111	1.000	Co-occurrence
EED	WWOX	328	2	57	2	1.750	0.111	1.000	Co-occurrence
WWOX	IRF8	328	57	2	2	1.750	0.111	1.000	Co-occurrence
CUX1	FBXO11	360	17	10	2	1.443	0.111	1.000	Co-occurrence
CUX1	QKI	360	17	10	2	1.443	0.111	1.000	Co-occurrence
ACTN4	CREB1	372	14	2	1	2.587	0.112	1.000	Co-occurrence
PRKCA	CREB1	372	14	2	1	2.587	0.112	1.000	Co-occurrence
PTPA	PRKCA	372	2	14	1	2.587	0.112	1.000	Co-occurrence
EPS8	KMT2A	351	5	31	2	1.511	0.112	1.000	Co-occurrence
GSN	KMT2A	351	5	31	2	1.511	0.112	1.000	Co-occurrence
USP9X	GSN	351	31	5	2	1.511	0.112	1.000	Co-occurrence
KMT2A	BIRC2	351	31	5	2	1.511	0.112	1.000	Co-occurrence
USP9X	SOX3	351	31	5	2	1.511	0.112	1.000	Co-occurrence
USP9X	HAVCR2	351	31	5	2	1.511	0.112	1.000	Co-occurrence
KMT2A	HAVCR2	351	31	5	2	1.511	0.112	1.000	Co-occurrence
SFTPC	KLF8	359	19	9	2	1.435	0.114	1.000	Co-occurrence
CUX1	PIK3CA	254	10	116	9	0.678	0.116	1.000	Co-occurrence
FSCN2	SIN3A	360	11	16	2	1.409	0.117	1.000	Co-occurrence
SIN3A	SCIN	360	16	11	2	1.409	0.117	1.000	Co-occurrence
MDM4	NUMB	376	5	7	1	2.374	0.118	1.000	Co-occurrence
GAPDH	TRIM62	376	5	7	1	2.374	0.118	1.000	Co-occurrence
MDM4	TRIM62	376	5	7	1	2.374	0.118	1.000	Co-occurrence
CAPNS1	FBXO11	374	3	11	1	2.428	0.118	1.000	Co-occurrence
EED	FBXO11	374	3	11	1	2.428	0.118	1.000	Co-occurrence
FBXO11	IRF8	374	11	3	1	2.428	0.118	1.000	Co-occurrence
IRF8	PKP3	374	3	11	1	2.428	0.118	1.000	Co-occurrence
FBXO11	ZNF143	374	11	3	1	2.428	0.118	1.000	Co-occurrence
PKP3	ZNF143	374	11	3	1	2.428	0.118	1.000	Co-occurrence
EGFL7	QKI	374	3	11	1	2.428	0.118	1.000	Co-occurrence
ZNF143	QKI	374	3	11	1	2.428	0.118	1.000	Co-occurrence
PAK4	PTPA	371	15	2	1	2.515	0.119	1.000	Co-occurrence
PTPA	TRIM33	371	2	15	1	2.515	0.119	1.000	Co-occurrence
UBE3C	CREB1	371	15	2	1	2.515	0.119	1.000	Co-occurrence
TRIM33	CREB1	371	15	2	1	2.515	0.119	1.000	Co-occurrence
TP73	CARD10	360	15	12	2	1.386	0.120	1.000	Co-occurrence
CXCR2	GSN	376	6	6	1	2.346	0.120	1.000	Co-occurrence
CXCR2	BIRC2	376	6	6	1	2.346	0.120	1.000	Co-occurrence
CXCR2	SOX3	376	6	6	1	2.346	0.120	1.000	Co-occurrence
BIRC2	SOX3	376	6	6	1	2.346	0.120	1.000	Co-occurrence
CXCR2	HAVCR2	376	6	6	1	2.346	0.120	1.000	Co-occurrence
SOX3	HAVCR2	376	6	6	1	2.346	0.120	1.000	Co-occurrence
ART1	SNW1	376	6	6	1	2.346	0.120	1.000	Co-occurrence
EPS8	SNW1	376	6	6	1	2.346	0.120	1.000	Co-occurrence
SOX3	SNW1	376	6	6	1	2.346	0.120	1.000	Co-occurrence
CXCR2	SHH	376	6	6	1	2.346	0.120	1.000	Co-occurrence
ACTN4	UBE3C	360	13	14	2	1.375	0.122	1.000	Co-occurrence
PRKCA	TRIM33	360	13	14	2	1.375	0.122	1.000	Co-occurrence
ACTN4	SON	360	13	14	2	1.375	0.122	1.000	Co-occurrence
FBXW7	TRIM33	311	62	11	5	0.824	0.122	1.000	Co-occurrence
MAPK7	ARRB1	375	9	4	1	2.343	0.123	1.000	Co-occurrence
MAPK7	GLS	375	9	4	1	2.343	0.123	1.000	Co-occurrence
HDAC6	PIK3CA	257	7	118	7	0.778	0.123	1.000	Co-occurrence
PTPA	ITGA3	370	2	16	1	2.448	0.126	1.000	Co-occurrence
PTPA	FSHR	370	2	16	1	2.448	0.126	1.000	Co-occurrence
G3BP1	CREB1	370	16	2	1	2.448	0.126	1.000	Co-occurrence
FSHR	CREB1	370	16	2	1	2.448	0.126	1.000	Co-occurrence
FSCN2	ZNF143	373	12	3	1	2.338	0.128	1.000	Co-occurrence
SCIN	ZNF143	373	12	3	1	2.338	0.128	1.000	Co-occurrence
ETV1	ZNF143	373	12	3	1	2.338	0.128	1.000	Co-occurrence
CAPNS1	ETV1	373	3	12	1	2.338	0.128	1.000	Co-occurrence
EGFL7	ETV1	373	3	12	1	2.338	0.128	1.000	Co-occurrence
CUX1	FSCN2	359	17	11	2	1.345	0.128	1.000	Co-occurrence
CUX1	SCIN	359	17	11	2	1.345	0.128	1.000	Co-occurrence
CUX1	ETV1	359	17	11	2	1.345	0.128	1.000	Co-occurrence
ITGB4	PIK3CA	244	20	120	5	-0.677	0.129	1.000	Mutual exclusivity
TLE1	ITGB4	356	8	23	2	1.353	0.130	1.000	Co-occurrence
EPS8	UBR5	348	5	34	2	1.410	0.130	1.000	Co-occurrence
BIRC2	UBR5	348	5	34	2	1.410	0.130	1.000	Co-occurrence
HDAC6	UBR5	342	11	33	3	1.039	0.130	1.000	Co-occurrence
HDAC8	AGTR1	375	5	8	1	2.238	0.132	1.000	Co-occurrence
MDM4	AGTR1	375	5	8	1	2.238	0.132	1.000	Co-occurrence
NOTCH4	PKP3	358	19	10	2	1.327	0.132	1.000	Co-occurrence
SFTPC	QKI	358	19	10	2	1.327	0.132	1.000	Co-occurrence
SIN3A	HDAC6	359	16	12	2	1.319	0.132	1.000	Co-occurrence
STAT1	PTPA	369	17	2	1	2.384	0.133	1.000	Co-occurrence
IGSF8	ARRB1	374	10	4	1	2.235	0.134	1.000	Co-occurrence
IGSF8	GLS	374	10	4	1	2.235	0.134	1.000	Co-occurrence
MMD	KLF8	374	4	10	1	2.235	0.134	1.000	Co-occurrence
ARRB1	KLF8	374	4	10	1	2.235	0.134	1.000	Co-occurrence
PAK4	UBE3C	359	14	14	2	1.298	0.136	1.000	Co-occurrence
UBE3C	TRIM33	359	14	14	2	1.298	0.136	1.000	Co-occurrence
CXCR2	NUMB	375	6	7	1	2.189	0.136	1.000	Co-occurrence
GSN	NUMB	375	6	7	1	2.189	0.136	1.000	Co-occurrence
SOX3	NUMB	375	6	7	1	2.189	0.136	1.000	Co-occurrence
ART1	TRIM62	375	6	7	1	2.189	0.136	1.000	Co-occurrence
CXCR2	TRIM62	375	6	7	1	2.189	0.136	1.000	Co-occurrence
BIRC2	TRIM62	375	6	7	1	2.189	0.136	1.000	Co-occurrence
HAVCR2	TRIM62	375	6	7	1	2.189	0.136	1.000	Co-occurrence
HDAC6	IRF8	372	13	3	1	2.255	0.137	1.000	Co-occurrence
NRP2	IRF8	372	13	3	1	2.255	0.137	1.000	Co-occurrence
EED	HDAC6	372	3	13	1	2.255	0.137	1.000	Co-occurrence
CAPNS1	NRP2	372	3	13	1	2.255	0.137	1.000	Co-occurrence
GSK3A	CARD10	372	3	13	1	2.255	0.137	1.000	Co-occurrence
EGFL7	CARD10	372	3	13	1	2.255	0.137	1.000	Co-occurrence
FBXW7	EED	320	65	2	2	1.594	0.139	1.000	Co-occurrence
FBXW7	EGFL7	320	65	2	2	1.594	0.139	1.000	Co-occurrence
CUX1	PTPA	368	18	2	1	2.325	0.140	1.000	Co-occurrence
ITGA3	PIK3CA	255	9	117	8	0.661	0.140	1.000	Co-occurrence
USP9X	TRIM62	350	31	6	2	1.325	0.142	1.000	Co-occurrence
FBXW7	UBR5	295	58	27	9	0.528	0.144	1.000	Co-occurrence
CUX1	HDAC6	358	17	12	2	1.256	0.145	1.000	Co-occurrence
CUX1	NRP2	358	17	12	2	1.256	0.145	1.000	Co-occurrence
USP9X	UBE3C	343	30	13	3	0.970	0.145	1.000	Co-occurrence
HDAC8	MAPK7	374	5	9	1	2.118	0.146	1.000	Co-occurrence
AQP3	MAPK7	374	5	9	1	2.118	0.146	1.000	Co-occurrence
TLE1	GAPDH	374	9	5	1	2.118	0.146	1.000	Co-occurrence
MAPK7	MDM4	374	9	5	1	2.118	0.146	1.000	Co-occurrence
MMD	GRN	373	4	11	1	2.137	0.146	1.000	Co-occurrence
GLS	GRN	373	4	11	1	2.137	0.146	1.000	Co-occurrence
ARRB1	PKP3	373	4	11	1	2.137	0.146	1.000	Co-occurrence
MMD	TCF3	373	4	11	1	2.137	0.146	1.000	Co-occurrence
ARRB1	TCF3	373	4	11	1	2.137	0.146	1.000	Co-occurrence
ACTN4	GSK3A	371	14	3	1	2.179	0.146	1.000	Co-occurrence
ACTN4	IRF8	371	14	3	1	2.179	0.146	1.000	Co-occurrence
PRKCA	IRF8	371	14	3	1	2.179	0.146	1.000	Co-occurrence
ACTN4	EGFL7	371	14	3	1	2.179	0.146	1.000	Co-occurrence
CAPNS1	ACTN4	371	3	14	1	2.179	0.146	1.000	Co-occurrence
EED	PRKCA	371	3	14	1	2.179	0.146	1.000	Co-occurrence
ATM	CARD10	320	55	10	4	0.845	0.147	1.000	Co-occurrence
PRKCA	SIN3A	358	13	16	2	1.236	0.149	1.000	Co-occurrence
FBXW7	TP73	310	62	12	5	0.734	0.150	1.000	Co-occurrence
PAK4	ITGA3	358	14	15	2	1.227	0.150	1.000	Co-occurrence
ITGA3	TRIM33	358	15	14	2	1.227	0.150	1.000	Co-occurrence
PAK4	TP73	358	14	15	2	1.227	0.150	1.000	Co-occurrence
PAK4	FSHR	358	14	15	2	1.227	0.150	1.000	Co-occurrence
TP73	SON	358	15	14	2	1.227	0.150	1.000	Co-occurrence
GRN	PIK3CA	258	6	119	6	0.774	0.151	1.000	Co-occurrence
NOTCH4	FSCN2	357	19	11	2	1.229	0.151	1.000	Co-occurrence
CXCR2	AGTR1	374	6	8	1	2.053	0.152	1.000	Co-occurrence
BIRC2	AGTR1	374	6	8	1	2.053	0.152	1.000	Co-occurrence
AGTR1	SHH	374	8	6	1	2.053	0.152	1.000	Co-occurrence
PRKCA	UBR5	341	12	33	3	0.949	0.153	1.000	Co-occurrence
ITGB4	PBXIP1	355	23	9	2	1.233	0.153	1.000	Co-occurrence
ITGB4	IGSF8	355	23	9	2	1.233	0.153	1.000	Co-occurrence
ART1	PIK3CA	261	3	121	4	1.056	0.153	1.000	Co-occurrence
NOTCH4	PTPA	366	20	2	1	2.214	0.154	1.000	Co-occurrence
NOTCH4	CREB1	366	20	2	1	2.214	0.154	1.000	Co-occurrence
NUMB	TRIM62	374	7	7	1	2.032	0.154	1.000	Co-occurrence
CAPNS1	PAK4	370	3	15	1	2.107	0.155	1.000	Co-occurrence
PAK4	EED	370	15	3	1	2.107	0.155	1.000	Co-occurrence
PAK4	GSK3A	370	15	3	1	2.107	0.155	1.000	Co-occurrence
CAPNS1	TRIM33	370	3	15	1	2.107	0.155	1.000	Co-occurrence
EED	TRIM33	370	3	15	1	2.107	0.155	1.000	Co-occurrence
TRIM33	IRF8	370	15	3	1	2.107	0.155	1.000	Co-occurrence
PAK4	EGFL7	370	15	3	1	2.107	0.155	1.000	Co-occurrence
EGFL7	SON	370	3	15	1	2.107	0.155	1.000	Co-occurrence
UBE3C	ZNF143	370	15	3	1	2.107	0.155	1.000	Co-occurrence
SON	ZNF143	370	15	3	1	2.107	0.155	1.000	Co-occurrence
FSCN2	GLS	372	12	4	1	2.048	0.157	1.000	Co-occurrence
SCIN	GLS	372	12	4	1	2.048	0.157	1.000	Co-occurrence
HDAC8	IGSF8	373	5	10	1	2.010	0.159	1.000	Co-occurrence
IGSF8	GAPDH	373	10	5	1	2.010	0.159	1.000	Co-occurrence
HDAC8	KLF8	373	5	10	1	2.010	0.159	1.000	Co-occurrence
ITGB4	ATM	311	19	53	6	0.617	0.161	1.000	Co-occurrence
CUX1	ACTN4	357	17	13	2	1.173	0.162	1.000	Co-occurrence
NAMPT	KMT2A	355	1	32	1	2.406	0.163	1.000	Co-occurrence
USP9X	NR1I2	355	32	1	1	2.406	0.163	1.000	Co-occurrence
KMT2A	NODAL	355	32	1	1	2.406	0.163	1.000	Co-occurrence
G3BP1	CAPNS1	369	16	3	1	2.040	0.164	1.000	Co-occurrence
CAPNS1	ITGA3	369	3	16	1	2.040	0.164	1.000	Co-occurrence
G3BP1	GSK3A	369	16	3	1	2.040	0.164	1.000	Co-occurrence
G3BP1	EGFL7	369	16	3	1	2.040	0.164	1.000	Co-occurrence
ITGA3	EGFL7	369	16	3	1	2.040	0.164	1.000	Co-occurrence
EED	TP73	369	3	16	1	2.040	0.164	1.000	Co-occurrence
IRF8	TP73	369	3	16	1	2.040	0.164	1.000	Co-occurrence
CAPNS1	FSHR	369	3	16	1	2.040	0.164	1.000	Co-occurrence
EGFL7	FSHR	369	3	16	1	2.040	0.164	1.000	Co-occurrence
TP73	ZNF143	369	16	3	1	2.040	0.164	1.000	Co-occurrence
FSHR	ZNF143	369	16	3	1	2.040	0.164	1.000	Co-occurrence
G3BP1	TP73	357	15	15	2	1.155	0.166	1.000	Co-occurrence
ITGA3	TP73	357	15	15	2	1.155	0.166	1.000	Co-occurrence
ITGA3	FSHR	357	15	15	2	1.155	0.166	1.000	Co-occurrence
TP73	FSHR	357	15	15	2	1.155	0.166	1.000	Co-occurrence
ITGA3	KMT2A	342	14	30	3	0.893	0.167	1.000	Co-occurrence
USP9X	FSHR	342	30	14	3	0.893	0.167	1.000	Co-occurrence
KMT2A	FSHR	342	30	14	3	0.893	0.167	1.000	Co-occurrence
MMD	WWOX	327	3	57	2	1.341	0.167	1.000	Co-occurrence
ARRB1	WWOX	327	3	57	2	1.341	0.167	1.000	Co-occurrence
JAG1	CREB1	364	22	2	1	2.113	0.168	1.000	Co-occurrence
TLE1	ART1	373	9	6	1	1.933	0.168	1.000	Co-occurrence
EPS8	MAPK7	373	6	9	1	1.933	0.168	1.000	Co-occurrence
TLE1	GSN	373	9	6	1	1.933	0.168	1.000	Co-occurrence
MAPK7	SOX3	373	9	6	1	1.933	0.168	1.000	Co-occurrence
TLE1	HAVCR2	373	9	6	1	1.933	0.168	1.000	Co-occurrence
MAPK7	HAVCR2	373	9	6	1	1.933	0.168	1.000	Co-occurrence
MAPK7	SHH	373	9	6	1	1.933	0.168	1.000	Co-occurrence
MMD	NRP2	371	4	13	1	1.965	0.168	1.000	Co-occurrence
NRP2	GLS	371	13	4	1	1.965	0.168	1.000	Co-occurrence
GLS	CARD10	371	4	13	1	1.965	0.168	1.000	Co-occurrence
AGTR1	TRIM62	373	8	7	1	1.896	0.172	1.000	Co-occurrence
AQP3	FBXO11	372	5	11	1	1.912	0.172	1.000	Co-occurrence
MDM4	GRN	372	5	11	1	1.912	0.172	1.000	Co-occurrence
AQP3	PKP3	372	5	11	1	1.912	0.172	1.000	Co-occurrence
MDM4	PKP3	372	5	11	1	1.912	0.172	1.000	Co-occurrence
AQP3	QKI	372	5	11	1	1.912	0.172	1.000	Co-occurrence
GAPDH	QKI	372	5	11	1	1.912	0.172	1.000	Co-occurrence
MDM4	QKI	372	5	11	1	1.912	0.172	1.000	Co-occurrence
AQP3	TCF3	372	5	11	1	1.912	0.172	1.000	Co-occurrence
GAPDH	TCF3	372	5	11	1	1.912	0.172	1.000	Co-occurrence
MDM4	TCF3	372	5	11	1	1.912	0.172	1.000	Co-occurrence
USP9X	AGTR1	349	31	7	2	1.168	0.173	1.000	Co-occurrence
STAT1	EED	368	17	3	1	1.976	0.173	1.000	Co-occurrence
CAPNS1	SIN3A	368	3	17	1	1.976	0.173	1.000	Co-occurrence
EED	SIN3A	368	3	17	1	1.976	0.173	1.000	Co-occurrence
SIN3A	GSK3A	368	17	3	1	1.976	0.173	1.000	Co-occurrence
SIN3A	IRF8	368	17	3	1	1.976	0.173	1.000	Co-occurrence
STAT1	ZNF143	368	17	3	1	1.976	0.173	1.000	Co-occurrence
ITGB4	QKI	354	23	10	2	1.124	0.176	1.000	Co-occurrence
PAK4	UBR5	340	13	33	3	0.866	0.176	1.000	Co-occurrence
PRKCA	ATM	319	11	55	4	0.746	0.179	1.000	Co-occurrence
ACTN4	ARRB1	370	14	4	1	1.888	0.179	1.000	Co-occurrence
PRKCA	ARRB1	370	14	4	1	1.888	0.179	1.000	Co-occurrence
CUX1	PAK4	356	17	14	2	1.096	0.180	1.000	Co-occurrence
CUX1	TRIM33	356	17	14	2	1.096	0.180	1.000	Co-occurrence
TLE1	ATM	323	7	56	3	0.905	0.182	1.000	Co-occurrence
CUX1	GSK3A	367	18	3	1	1.916	0.182	1.000	Co-occurrence
CUX1	EGFL7	367	18	3	1	1.916	0.182	1.000	Co-occurrence
CUX1	ZNF143	367	18	3	1	1.916	0.182	1.000	Co-occurrence
SIN3A	TP73	356	16	15	2	1.087	0.182	1.000	Co-occurrence
STAT1	FSHR	356	16	15	2	1.087	0.182	1.000	Co-occurrence
SIN3A	FSHR	356	16	15	2	1.087	0.182	1.000	Co-occurrence
CXCR2	IGSF8	372	6	10	1	1.825	0.183	1.000	Co-occurrence
EPS8	IGSF8	372	6	10	1	1.825	0.183	1.000	Co-occurrence
